sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode01	read	occurence
Mapped	3807
No mapped	402
total	4209	GC_content,mapped,occurence
50.53,1.0,1.0
50.54,1.0,128.0
50.55,1.0,16.0
50.56,1.0,8.0
50.57,1.0,2.0
50.59,1.0,1.0
50.6,1.0,1.0
50.65,1.0,1.0
50.66,1.0,3.0
50.67,1.0,6.0
50.68,1.0,3.0
50.7,1.0,1.0
50.71,1.0,2.0
50.72,1.0,37.0
50.73,1.0,8.0
50.74,1.0,1.0
50.78,1.0,1.0
50.79,1.0,3.0
50.8,1.0,1.0
50.82,1.0,1.0
50.87,0.0,1.0
50.88,1.0,29.0
50.89,1.0,4.0
50.9,1.0,19.0
50.91,1.0,11.0
50.92,1.0,8.0
50.93,1.0,2.0
50.94,1.0,2.0
50.96,0.0,1.0
50.96,1.0,1.0
50.97,1.0,1.0
50.98,1.0,2.0
50.99,0.0,1.0
50.99,1.0,2.0
51.03,1.0,1.0
51.08,0.0,1.0
51.08,1.0,2.0
51.09,1.0,48.0
51.1,1.0,12.0
51.11,1.0,5.0
51.12,1.0,2.0
51.14,1.0,3.0
51.17,1.0,1.0
51.21,1.0,1.0
51.23,1.0,1.0
51.25,1.0,1.0
51.26,1.0,5.0
51.27,0.0,1.0
51.27,1.0,8.0
51.28,1.0,7.0
51.3,1.0,2.0
51.31,1.0,1.0
51.32,1.0,1.0
51.33,1.0,4.0
51.35,1.0,1.0
51.36,1.0,2.0
51.37,1.0,1.0
51.42,1.0,1.0
51.44,1.0,3.0
51.45,1.0,4.0
51.46,1.0,4.0
51.47,1.0,2.0
51.49,1.0,1.0
51.5,1.0,3.0
51.52,1.0,3.0
51.55,1.0,1.0
51.56,0.0,1.0
51.57,0.0,1.0
51.6,1.0,2.0
51.62,1.0,1.0
51.65,1.0,3.0
51.66,1.0,1.0
51.69,1.0,2.0
51.7,1.0,2.0
51.71,1.0,15.0
51.72,1.0,1.0
51.77,0.0,1.0
51.77,1.0,1.0
51.79,1.0,1.0
51.81,0.0,1.0
51.81,1.0,1.0
51.84,1.0,2.0
51.87,1.0,1.0
51.88,1.0,1.0
51.89,1.0,1.0
51.94,1.0,1.0
52.0,1.0,1.0
52.02,1.0,1.0
52.04,1.0,1.0
52.05,1.0,1.0
52.07,0.0,1.0
52.09,1.0,1.0
52.12,1.0,1.0
52.14,1.0,1.0
52.21,0.0,1.0
52.26,1.0,1.0
52.27,1.0,2.0
52.3,0.0,1.0
52.36,1.0,1.0
52.38,1.0,1.0
52.4,1.0,1.0
52.43,1.0,1.0
52.51,0.0,1.0
52.61,1.0,1.0
52.65,1.0,2.0
52.69,1.0,2.0
52.72,1.0,1.0
52.73,1.0,1.0
52.76,1.0,1.0
52.78,1.0,1.0
52.8,1.0,1.0
52.81,1.0,1.0
52.86,1.0,2.0
52.88,1.0,1.0
52.91,1.0,2.0
52.92,1.0,1.0
52.94,1.0,1.0
52.97,1.0,1.0
53.0,1.0,1.0
53.05,1.0,1.0
53.16,1.0,1.0
53.26,1.0,1.0
53.48,1.0,1.0
53.49,1.0,2.0
53.54,0.0,1.0
53.64,1.0,1.0
53.8,1.0,1.0
54.53,1.0,1.0
54.68,1.0,1.0
54.93,1.0,1.0
54.95,1.0,1.0
55.06,1.0,1.0
55.22,0.0,1.0
55.28,1.0,1.0
55.35,1.0,1.0
55.43,1.0,1.0
55.81,1.0,1.0
55.99,1.0,1.0
56.49,1.0,1.0
58.33,1.0,1.0
58.95,1.0,1.0
66.0,1.0,1.0	seq_score,mapped,occurence
39.22,0.0,1.0
39.61,0.0,1.0
41.58,0.0,1.0
